,Start,End,Twoday,Meeting,Press Conference,Record of Policy Actions,Minutes,Beige Book,Tealbook A,Tealbook B,Greenbook,Bluebook,Redbook,Longer-Run Goals,Memoranda,Statement,Supplement,Transcript,Individual Projections
107,1955-08-02 00:00:00,1955-08-02 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550802.pdf,Documents/Minutes/1955/FOMChistmin19550802.pdf,,,,,,,,,,,,
108,1955-08-23 00:00:00,1955-08-23 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550823.pdf,Documents/Minutes/1955/FOMChistmin19550823.pdf,,,,,,,,,,,,
109,1955-09-14 00:00:00,1955-09-14 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19550914.pdf,Documents/Minutes/1955/FOMChistmin19550914.pdf,,,,,,,,,,,,
110,1955-09-26 00:00:00,1955-09-26 00:00:00,0,Conference Call,0,Documents/Record of Policy Actions/1955/fomcropa19550926.pdf,Documents/Minutes/1955/FOMChistmin19550926.pdf,,,,,,,,,,,,
111,1955-10-04 00:00:00,1955-10-04 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19551004.pdf,Documents/Minutes/1955/FOMChistmin19551004.pdf,,,,,,,,,,,,
112,1955-10-25 00:00:00,1955-10-25 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19551025.pdf,Documents/Minutes/1955/FOMChistmin19551025.pdf,,,,,,,,,,,,
113,1955-11-16 00:00:00,1955-11-16 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19551116.pdf,Documents/Minutes/1955/FOMChistmin19551116.pdf,,,,,,,,,,,,
114,1955-11-30 00:00:00,1955-11-30 00:00:00,0,Conference Call,0,Documents/Record of Policy Actions/1955/fomcropa19551130.pdf,Documents/Minutes/1955/FOMChistmin19551130.pdf,,,,,,,,,,,,
115,1955-12-08 00:00:00,1955-12-08 00:00:00,0,Conference Call,0,,Documents/Minutes/1955/FOMChistmin19551208.pdf,,,,,,,,,,,,
116,1955-12-13 00:00:00,1955-12-13 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1955/fomcropa19551213.pdf,Documents/Minutes/1955/FOMChistmin19551213.pdf,,,,,,,,,,,,
117,1956-01-10 00:00:00,1956-01-10 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560110.pdf,Documents/Minutes/1956/fomchistmin19560110.pdf,,,,,,,,,,,,
118,1956-01-24 00:00:00,1956-01-24 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560124.pdf,Documents/Minutes/1956/fomchistmin19560124.pdf,,,,,,,,,,,,
119,1956-02-15 00:00:00,1956-02-15 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560215.pdf,Documents/Minutes/1956/fomchistmin19560215.pdf,,,,,,,,,,,,
120,1956-03-06 00:00:00,1956-03-06 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560306.pdf,Documents/Minutes/1956/fomchistmin19560306.pdf,,,,,,,,,,,,
121,1956-03-27 00:00:00,1956-03-27 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560327.pdf,Documents/Minutes/1956/fomchistmin19560327.pdf,,,,,,,,,,,,
122,1956-04-17 00:00:00,1956-04-17 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560417.pdf,Documents/Minutes/1956/fomchistmin19560417.pdf,,,,,,,,,,,,
123,1956-04-18 00:00:00,1956-04-18 00:00:00,0,Meeting,0,,,,,,,,,,,,,,
124,1956-05-09 00:00:00,1956-05-09 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560509.pdf,Documents/Minutes/1956/fomchistmin19560509.pdf,,,,,,,,,,,,
125,1956-05-23 00:00:00,1956-05-23 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560523.pdf,Documents/Minutes/1956/fomchistmin19560523.pdf,,,,,,,,,,,,
126,1956-06-05 00:00:00,1956-06-05 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560605.pdf,Documents/Minutes/1956/fomchistmin19560605.pdf,,,,,,,,,,,,
127,1956-06-26 00:00:00,1956-06-26 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560626.pdf,Documents/Minutes/1956/fomchistmin19560626.pdf,,,,,,,,,,,,
128,1956-07-17 00:00:00,1956-07-17 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560717.pdf,Documents/Minutes/1956/fomchistmin19560717.pdf,,,,,,,,,,,,
129,1956-08-07 00:00:00,1956-08-07 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1956/fomcropa19560807.pdf,Documents/Minutes/1956/fomchistmin19560807.pdf,,,,,,,,,,,,
